20.['gat_sym', 'mlp', '6', '32', 'elu', 'gat', 'sum', '2', '64', 'elu']: feedback:10.5543 L_1:10.5669 L_2:10.5543 M_1:-0.0278 M_2:0.0000 S_1:10.5947 S_2:0.0000
20.['const', 'sum', '4', '128', 'linear', 'gcn', 'max', '4', '8', 'softplus']: feedback:9.8418 L_1:10.5820 L_2:9.8418 M_1:-0.0001 M_2:0.0000 S_1:10.5822 S_2:0.0000
0.['gcn', 'mlp', '2', '256', 'softplus', 'gat', 'max', '4', '64', 'leaky_relu']: feedback:10.3693 L_1:10.5861 L_2:10.3693 M_1:-0.0104 M_2:0.0000 S_1:10.5965 S_2:0.0000
0.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:8.9669 L_1:10.5852 L_2:8.9669 M_1:-0.0432 M_2:0.0000 S_1:10.6284 S_2:0.0000
0.['gat_sym', 'mean', '4', '8', 'linear', 'gcn', 'max', '2', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['gat', 'mean', '8', '32', 'softplus', 'const', 'sum', '1', '32', 'softplus']: feedback:10.4284 L_1:10.5831 L_2:10.4284 M_1:-0.0173 M_2:0.0000 S_1:10.6003 S_2:0.0000
0.['const', 'max', '4', '128', 'tanh', 'linear', 'mlp', '1', '256', 'tanh']: feedback:9.2272 L_1:10.5528 L_2:9.2272 M_1:0.0063 M_2:0.0000 S_1:10.5465 S_2:0.0000
0.['cos', 'sum', '6', '64', 'relu6', 'gat_sym', 'mean', '16', '8', 'elu']: feedback:8.6672 L_1:10.7248 L_2:8.6672 M_1:-0.0841 M_2:0.0000 S_1:10.8089 S_2:0.0000
0.['gcn', 'max', '2', '64', 'elu', 'generalized_linear', 'sum', '4', '128', 'tanh']: feedback:8.7784 L_1:10.4374 L_2:8.7784 M_1:-0.0813 M_2:0.0000 S_1:10.5187 S_2:0.0000
0.['generalized_linear', 'mlp', '1', '32', 'sigmoid', 'gcn', 'mean', '8', '64', 'leaky_relu']: feedback:10.2038 L_1:10.5733 L_2:10.2038 M_1:-0.0114 M_2:0.0000 S_1:10.5848 S_2:0.0000
0.['gat_sym', 'sum', '8', '16', 'leaky_relu', 'gat', 'max', '6', '32', 'linear']: feedback:8.7147 L_1:10.6381 L_2:8.7147 M_1:-0.0089 M_2:0.0000 S_1:10.6471 S_2:0.0000
0.['gat', 'mean', '4', '64', 'elu', 'const', 'mean', '1', '64', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0001 M_2:0.0000 S_1:10.5823 S_2:0.0000
10.['gat', 'max', '8', '32', 'softplus', 'const', 'mean', '8', '8', 'linear']: feedback:10.5869 L_1:10.8065 L_2:10.5869 M_1:-0.0355 M_2:0.0000 S_1:10.8419 S_2:0.0000
10.['generalized_linear', 'mean', '16', '64', 'sigmoid', 'cos', 'max', '6', '64', 'tanh']: feedback:10.2671 L_1:10.6438 L_2:10.2671 M_1:-0.0009 M_2:0.0000 S_1:10.6447 S_2:0.0000
10.['gcn', 'mlp', '6', '8', 'linear', 'gat_sym', 'mlp', '4', '256', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
10.['cos', 'mean', '2', '64', 'relu6', 'gat', 'mean', '4', '16', 'elu']: feedback:9.5174 L_1:10.6024 L_2:9.5174 M_1:-0.0854 M_2:0.0000 S_1:10.6878 S_2:0.0000
10.['gat_sym', 'max', '4', '128', 'leaky_relu', 'gcn', 'sum', '2', '8', 'softplus']: feedback:10.5713 L_1:10.5823 L_2:10.5713 M_1:-0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
10.['const', 'sum', '4', '256', 'softplus', 'linear', 'mean', '4', '32', 'sigmoid']: feedback:10.1009 L_1:10.5805 L_2:10.1009 M_1:0.0001 M_2:0.0000 S_1:10.5803 S_2:0.0000
10.['linear', 'max', '1', '64', 'tanh', 'generalized_linear', 'max', '16', '64', 'relu6']: feedback:9.3060 L_1:10.5988 L_2:9.3060 M_1:-0.0052 M_2:0.0000 S_1:10.6040 S_2:0.0000
10.['gcn', 'mlp', '8', '16', 'sigmoid', 'linear', 'mean', '4', '16', 'leaky_relu']: feedback:10.3393 L_1:10.6454 L_2:10.3393 M_1:-0.0196 M_2:0.0000 S_1:10.6649 S_2:0.0000
