4.['cos', 'max', '16', '256', 'relu6', 'cos', 'max', '16', '256', 'relu6']: feedback:219.9962 L_1:8.8111 L_2:6.6111 M_1:-0.0214 M_2:-0.8054 S_1:8.8218 S_2:7.0138
5.['cos', 'max', '16', '256', 'relu6', 'cos', 'max', '16', '256', 'relu6']: feedback:217.0336 L_1:8.8122 L_2:6.6419 M_1:-0.0209 M_2:-0.7990 S_1:8.8227 S_2:7.0414
1.['gcn', 'mean', '8', '64', 'linear', 'generalized_linear', 'sum', '4', '16', 'elu']: feedback:182.3078 L_1:8.7967 L_2:6.9736 M_1:-0.1914 M_2:-0.8015 S_1:8.8924 S_2:7.3743
2.['gat', 'mean', '8', '32', 'linear', 'gat', 'mean', '4', '64', 'tanh']: feedback:157.7954 L_1:8.6665 L_2:7.0886 M_1:-0.1965 M_2:-0.7970 S_1:8.7647 S_2:7.4871
3.['const', 'max', '4', '64', 'tanh', 'const', 'mean', '1', '64', 'elu']: feedback:116.9759 L_1:8.6870 L_2:7.5173 M_1:-0.1579 M_2:-0.6206 S_1:8.7660 S_2:7.8276
4.['gat_sym', 'mean', '6', '64', 'relu6', 'gat_sym', 'sum', '16', '64', 'relu6']: feedback:172.1495 L_1:8.7518 L_2:7.0303 M_1:-0.0929 M_2:-0.7392 S_1:8.7982 S_2:7.3999
5.['gcn', 'mean', '8', '128', 'relu6', 'cos', 'mean', '4', '8', 'linear']: feedback:195.5468 L_1:9.0020 L_2:7.0465 M_1:-0.1547 M_2:-0.8115 S_1:9.0794 S_2:7.4523
1.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '6', '32', 'tanh']: feedback:194.8358 L_1:8.6466 L_2:6.6982 M_1:-0.1730 M_2:-0.8551 S_1:8.8196 S_2:7.5533
2.['cos', 'sum', '16', '32', 'tanh', 'gat_sym', 'mean', '8', '8', 'leaky_relu']: feedback:207.3872 L_1:8.8677 L_2:6.7938 M_1:-0.1025 M_2:-0.7444 S_1:8.9702 S_2:7.5382
3.['cos', 'mean', '6', '64', 'leaky_relu', 'gcn', 'sum', '8', '16', 'leaky_relu']: feedback:197.8414 L_1:8.7995 L_2:6.8211 M_1:-0.0860 M_2:-0.7325 S_1:8.8855 S_2:7.5536
4.['gat_sym', 'max', '16', '64', 'linear', 'gat_sym', 'mean', '16', '64', 'linear']: feedback:223.5052 L_1:8.6091 L_2:6.3740 M_1:-0.1743 M_2:-0.8794 S_1:8.7833 S_2:7.2534
5.['const', 'mean', '16', '256', 'relu6', 'generalized_linear', 'sum', '4', '16', 'elu']: feedback:236.5719 L_1:8.7382 L_2:6.3725 M_1:-0.1783 M_2:-0.8498 S_1:8.9165 S_2:7.2223
1.['gat', 'sum', '6', '64', 'leaky_relu', 'gcn', 'mean', '8', '32', 'leaky_relu']: feedback:205.3074 L_1:8.7198 L_2:6.6668 M_1:-0.0976 M_2:-0.7690 S_1:8.8174 S_2:7.4357
2.['cos', 'sum', '4', '64', 'tanh', 'gcn', 'mean', '8', '8', 'leaky_relu']: feedback:201.1801 L_1:8.8736 L_2:6.8618 M_1:-0.1022 M_2:-0.7177 S_1:8.9757 S_2:7.5795
3.['const', 'mean', '1', '256', 'relu6', 'linear', 'mean', '4', '8', 'linear']: feedback:209.5580 L_1:8.8633 L_2:6.7678 M_1:-0.1656 M_2:-0.8224 S_1:9.0289 S_2:7.5902
4.['gat', 'max', '16', '64', 'linear', 'gat', 'mean', '6', '64', 'relu6']: feedback:214.4705 L_1:8.6877 L_2:6.5430 M_1:-0.1030 M_2:-0.7563 S_1:8.7907 S_2:7.2993
5.['gcn', 'sum', '16', '64', 'linear', 'gcn', 'mean', '16', '64', 'elu']: feedback:222.9938 L_1:8.5348 L_2:6.3048 M_1:-0.1982 M_2:-0.8686 S_1:8.7329 S_2:7.1734
