20.['gat_sym', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:217.5917 L_1:8.3378 L_2:6.1619 M_1:-0.1931 M_2:-0.8472 S_1:8.5309 S_2:7.0091
20.['gcn', 'mlp', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:16.3174 L_1:8.4989 L_2:8.3357 M_1:-0.0871 M_2:-0.1004 S_1:8.5859 S_2:8.4361
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:76.0606 L_1:8.5981 L_2:7.8375 M_1:-0.0087 M_2:-0.2840 S_1:8.6068 S_2:8.1215
30.['gat', 'mean', '6', '64', 'softplus', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:0.6245 L_1:8.5483 L_2:8.5421 M_1:-0.0192 M_2:0.0103 S_1:8.5675 S_2:8.5318
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:77.1081 L_1:8.6026 L_2:7.8315 M_1:-0.0076 M_2:-0.2974 S_1:8.6102 S_2:8.1289
30.['gat', 'mean', '6', '64', 'softplus', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:1.6318 L_1:8.5608 L_2:8.5445 M_1:-0.0156 M_2:0.0112 S_1:8.5764 S_2:8.5333
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:77.2051 L_1:8.5989 L_2:7.8268 M_1:-0.0091 M_2:-0.2763 S_1:8.6080 S_2:8.1031
30.['gat', 'mean', '6', '64', 'softplus', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:1.2448 L_1:8.5555 L_2:8.5431 M_1:-0.0187 M_2:0.0102 S_1:8.5742 S_2:8.5329
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:79.5795 L_1:8.6036 L_2:7.8078 M_1:-0.0082 M_2:-0.3060 S_1:8.6118 S_2:8.1139
30.['gat', 'mean', '6', '64', 'softplus', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:4.0079 L_1:8.5501 L_2:8.5100 M_1:-0.0153 M_2:0.0051 S_1:8.5654 S_2:8.5049
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:80.1752 L_1:8.5968 L_2:7.7951 M_1:-0.0097 M_2:-0.2968 S_1:8.6065 S_2:8.0919
30.['gat', 'mean', '6', '64', 'softplus', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:-2.0435 L_1:8.5376 L_2:8.5580 M_1:-0.0201 M_2:0.0095 S_1:8.5577 S_2:8.5484
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:212.5763 L_1:8.6545 L_2:6.5287 M_1:-0.0162 M_2:-0.6838 S_1:8.6706 S_2:7.2125
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:214.9626 L_1:8.6435 L_2:6.4939 M_1:-0.0164 M_2:-0.6930 S_1:8.6599 S_2:7.1869
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:217.8597 L_1:8.6482 L_2:6.4696 M_1:-0.0166 M_2:-0.6983 S_1:8.6648 S_2:7.1679
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:215.8156 L_1:8.6484 L_2:6.4902 M_1:-0.0160 M_2:-0.6875 S_1:8.6643 S_2:7.1777
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:215.8803 L_1:8.6454 L_2:6.4866 M_1:-0.0153 M_2:-0.6927 S_1:8.6606 S_2:7.1792
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:220.9684 L_1:8.6446 L_2:6.4350 M_1:-0.0165 M_2:-0.7081 S_1:8.6612 S_2:7.1431
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:218.4701 L_1:8.6478 L_2:6.4631 M_1:-0.0147 M_2:-0.6963 S_1:8.6625 S_2:7.1594
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:216.8518 L_1:8.6432 L_2:6.4747 M_1:-0.0160 M_2:-0.6987 S_1:8.6593 S_2:7.1734
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:214.9286 L_1:8.6457 L_2:6.4964 M_1:-0.0170 M_2:-0.6804 S_1:8.6627 S_2:7.1768
40.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:213.7441 L_1:8.6427 L_2:6.5052 M_1:-0.0159 M_2:-0.6918 S_1:8.6585 S_2:7.1971
0.['gat', 'max', '8', '16', 'softplus', 'const', 'sum', '1', '32', 'elu']: feedback:5.7371 L_1:8.6221 L_2:8.5647 M_1:-0.0564 M_2:-0.0892 S_1:8.6785 S_2:8.6539
0.['generalized_linear', 'mlp', '2', '64', 'sigmoid', 'gcn', 'max', '2', '128', 'sigmoid']: feedback:0.5666 L_1:8.5961 L_2:8.5904 M_1:-0.0007 M_2:-0.0008 S_1:8.5968 S_2:8.5913
0.['gcn', 'mean', '6', '8', 'elu', 'linear', 'mlp', '4', '8', 'softplus']: feedback:0.0007 L_1:8.5971 L_2:8.5971 M_1:-0.0000 M_2:-0.0000 S_1:8.5971 S_2:8.5971
0.['cos', 'mean', '4', '64', 'tanh', 'gat', 'sum', '8', '64', 'relu6']: feedback:185.0861 L_1:8.4863 L_2:6.6354 M_1:-0.0925 M_2:-0.6789 S_1:8.5788 S_2:7.3143
0.['gat_sym', 'max', '4', '32', 'linear', 'generalized_linear', 'sum', '2', '256', 'leaky_relu']: feedback:134.4743 L_1:8.4888 L_2:7.1441 M_1:-0.0804 M_2:-0.5369 S_1:8.5692 S_2:7.6810
0.['const', 'sum', '16', '128', 'relu6', 'gat_sym', 'max', '4', '64', 'relu6']: feedback:193.0173 L_1:8.5557 L_2:6.6255 M_1:-0.0469 M_2:-0.6814 S_1:8.6025 S_2:7.3069
0.['linear', 'sum', '1', '256', 'leaky_relu', 'cos', 'max', '16', '8', 'tanh']: feedback:180.7235 L_1:8.6731 L_2:6.8659 M_1:-0.0115 M_2:-0.6256 S_1:8.6846 S_2:7.4915
0.['gat', 'mean', '2', '64', 'softplus', 'const', 'max', '1', '16', 'elu']: feedback:4.0822 L_1:8.6658 L_2:8.6250 M_1:-0.0377 M_2:-0.0091 S_1:8.7035 S_2:8.6341
0.['gcn', 'mlp', '8', '16', 'sigmoid', 'linear', 'mean', '4', '256', 'tanh']: feedback:22.4526 L_1:8.5468 L_2:8.3223 M_1:-0.0576 M_2:-0.0511 S_1:8.6045 S_2:8.3733
0.['generalized_linear', 'mean', '4', '8', 'relu6', 'cos', 'mean', '6', '64', 'sigmoid']: feedback:-0.0030 L_1:8.5971 L_2:8.5971 M_1:-0.0000 M_2:-0.0000 S_1:8.5971 S_2:8.5971
10.['gat', 'max', '8', '64', 'softplus', 'const', 'mean', '1', '64', 'relu6']: feedback:-0.1698 L_1:8.5875 L_2:8.5892 M_1:-0.0388 M_2:-0.0275 S_1:8.6263 S_2:8.6168
10.['generalized_linear', 'mean', '2', '64', 'linear', 'cos', 'max', '4', '8', 'tanh']: feedback:141.5429 L_1:8.6455 L_2:7.2300 M_1:-0.0427 M_2:-0.5271 S_1:8.6882 S_2:7.7572
10.['gcn', 'mean', '16', '8', 'leaky_relu', 'gat', 'mean', '8', '256', 'leaky_relu']: feedback:137.1250 L_1:8.4938 L_2:7.1225 M_1:-0.0765 M_2:-0.4788 S_1:8.5703 S_2:7.6013
10.['linear', 'mlp', '4', '128', 'tanh', 'linear', 'sum', '2', '128', 'relu6']: feedback:9.7956 L_1:8.5246 L_2:8.4266 M_1:-0.0649 M_2:-0.1085 S_1:8.5895 S_2:8.5351
10.['gat_sym', 'max', '4', '32', 'sigmoid', 'generalized_linear', 'sum', '4', '32', 'elu']: feedback:7.7683 L_1:8.5788 L_2:8.5011 M_1:-0.0575 M_2:-0.1888 S_1:8.6363 S_2:8.6899
10.['const', 'sum', '6', '256', 'elu', 'gcn', 'mlp', '16', '16', 'sigmoid']: feedback:-0.0198 L_1:8.5969 L_2:8.5971 M_1:-0.0001 M_2:-0.0000 S_1:8.5970 S_2:8.5971
10.['cos', 'sum', '2', '64', 'softplus', 'gat_sym', 'sum', '4', '64', 'softplus']: feedback:19.9047 L_1:8.5890 L_2:8.3899 M_1:-0.0123 M_2:-0.0906 S_1:8.6012 S_2:8.4805
10.['gcn', 'mlp', '1', '64', 'relu6', 'const', 'max', '6', '16', 'linear']: feedback:13.3230 L_1:8.6412 L_2:8.5080 M_1:-0.0145 M_2:-0.0218 S_1:8.6557 S_2:8.5298
10.['gat', 'mean', '8', '16', 'linear', 'gat', 'max', '4', '64', 'elu']: feedback:152.9712 L_1:8.5533 L_2:7.0236 M_1:-0.0489 M_2:-0.5607 S_1:8.6022 S_2:7.5843
10.['generalized_linear', 'mean', '4', '8', 'elu', 'linear', 'mean', '4', '128', 'sigmoid']: feedback:-0.0023 L_1:8.5971 L_2:8.5971 M_1:-0.0000 M_2:-0.0000 S_1:8.5971 S_2:8.5971
20.['gcn', 'mlp', '16', '64', 'sigmoid', 'gat', 'mlp', '16', '128', 'relu6']: feedback:1.8321 L_1:8.5528 L_2:8.5345 M_1:-0.0158 M_2:0.0093 S_1:8.5687 S_2:8.5252
20.['generalized_linear', 'max', '8', '256', 'tanh', 'gat_sym', 'max', '1', '64', 'leaky_relu']: feedback:132.4894 L_1:8.5422 L_2:7.2173 M_1:-0.0639 M_2:-0.4947 S_1:8.6061 S_2:7.7120
20.['linear', 'mean', '6', '64', 'relu6', 'cos', 'mean', '8', '8', 'softplus']: feedback:18.7291 L_1:8.5972 L_2:8.4099 M_1:-0.0001 M_2:-0.0437 S_1:8.5973 S_2:8.4536
20.['gat_sym', 'mean', '4', '8', 'leaky_relu', 'const', 'mean', '4', '256', 'tanh']: feedback:128.8379 L_1:8.4486 L_2:7.1602 M_1:-0.1278 M_2:-0.6722 S_1:8.5763 S_2:7.8324
20.['const', 'max', '4', '16', 'softplus', 'linear', 'sum', '6', '64', 'sigmoid']: feedback:84.6919 L_1:8.5918 L_2:7.7449 M_1:-0.0047 M_2:-0.3762 S_1:8.5966 S_2:8.1211
20.['cos', 'sum', '2', '32', 'elu', 'gcn', 'sum', '2', '32', 'elu']: feedback:149.7924 L_1:8.4133 L_2:6.9154 M_1:-0.1789 M_2:-0.6720 S_1:8.5923 S_2:7.5873
20.['gat', 'sum', '1', '128', 'linear', 'generalized_linear', 'max', '4', '16', 'linear']: feedback:165.1466 L_1:8.5982 L_2:6.9467 M_1:-0.0386 M_2:-0.5864 S_1:8.6367 S_2:7.5331
20.['gcn', 'max', '16', '8', 'sigmoid', 'gat_sym', 'mlp', '6', '128', 'leaky_relu']: feedback:4.4380 L_1:8.5443 L_2:8.4999 M_1:-0.0218 M_2:0.0075 S_1:8.5661 S_2:8.4923
20.['generalized_linear', 'mlp', '8', '64', 'tanh', 'gat', 'max', '4', '64', 'elu']: feedback:18.3109 L_1:8.6012 L_2:8.4181 M_1:-0.0301 M_2:-0.1146 S_1:8.6312 S_2:8.5326
20.['linear', 'max', '4', '64', 'relu6', 'generalized_linear', 'mean', '1', '8', 'relu6']: feedback:123.8600 L_1:8.7866 L_2:7.5480 M_1:-0.0627 M_2:-0.4699 S_1:8.8493 S_2:8.0179
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:31.7404 L_1:8.6484 L_2:8.3310 M_1:-0.0098 M_2:0.0069 S_1:8.6581 S_2:8.3241
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:30.6337 L_1:8.6531 L_2:8.3468 M_1:-0.0096 M_2:0.0075 S_1:8.6627 S_2:8.3393
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:29.4665 L_1:8.6490 L_2:8.3543 M_1:-0.0108 M_2:0.0039 S_1:8.6598 S_2:8.3504
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:31.4499 L_1:8.6333 L_2:8.3188 M_1:-0.0110 M_2:0.0087 S_1:8.6444 S_2:8.3102
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:30.9259 L_1:8.6495 L_2:8.3403 M_1:-0.0097 M_2:0.0058 S_1:8.6593 S_2:8.3344
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:28.8297 L_1:8.6427 L_2:8.3545 M_1:-0.0095 M_2:0.0114 S_1:8.6523 S_2:8.3430
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:30.6708 L_1:8.6498 L_2:8.3431 M_1:-0.0103 M_2:0.0130 S_1:8.6601 S_2:8.3301
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:31.0755 L_1:8.6415 L_2:8.3307 M_1:-0.0099 M_2:0.0083 S_1:8.6514 S_2:8.3224
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:29.7421 L_1:8.6499 L_2:8.3525 M_1:-0.0108 M_2:0.0035 S_1:8.6607 S_2:8.3490
30.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'max', '16', '64', 'linear']: feedback:30.2763 L_1:8.6479 L_2:8.3451 M_1:-0.0100 M_2:0.0110 S_1:8.6579 S_2:8.3342
40.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:151.5786 L_1:8.6266 L_2:7.1108 M_1:-0.0081 M_2:-0.6133 S_1:8.6347 S_2:7.7241
40.['gat_sym', 'mean', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:100.5901 L_1:8.6331 L_2:7.6272 M_1:-0.0071 M_2:-0.4921 S_1:8.6402 S_2:8.1193
40.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:130.5568 L_1:8.6225 L_2:7.3170 M_1:-0.0100 M_2:-0.5099 S_1:8.6326 S_2:7.8268
