4.['generalized_linear', 'mean', '16', '64', 'relu6', 'cos', 'sum', '16', '128', 'relu6']: feedback:162.2776 L_1:8.4382 L_2:6.8155 M_1:-0.1503 M_2:-0.6751 S_1:8.4382 S_2:6.8155
5.['gcn', 'sum', '16', '64', 'softplus', 'linear', 'max', '8', '32', 'leaky_relu']: feedback:160.0941 L_1:8.4764 L_2:6.8755 M_1:-0.0955 M_2:-0.6765 S_1:8.4764 S_2:6.8755
1.['const', 'max', '16', '8', 'tanh', 'gcn', 'mean', '4', '32', 'elu']: feedback:104.9986 L_1:8.3952 L_2:7.3453 M_1:-0.2382 M_2:-0.6382 S_1:8.3952 S_2:7.3453
2.['cos', 'sum', '16', '256', 'tanh', 'generalized_linear', 'mlp', '16', '64', 'relu6']: feedback:118.4374 L_1:8.3894 L_2:7.2050 M_1:-0.1271 M_2:-0.4304 S_1:8.3894 S_2:7.2050
3.['gcn', 'mean', '16', '8', 'leaky_relu', 'cos', 'mean', '4', '8', 'linear']: feedback:115.0800 L_1:8.7623 L_2:7.6115 M_1:-0.1993 M_2:-0.6204 S_1:8.7623 S_2:7.6115
4.['const', 'sum', '4', '256', 'relu6', 'linear', 'mean', '6', '8', 'elu']: feedback:142.5059 L_1:8.6250 L_2:7.1999 M_1:-0.2490 M_2:-0.6505 S_1:8.6250 S_2:7.1999
5.['cos', 'sum', '2', '128', 'leaky_relu', 'gcn', 'sum', '8', '16', 'leaky_relu']: feedback:140.6611 L_1:8.5435 L_2:7.1369 M_1:-0.1515 M_2:-0.6428 S_1:8.5435 S_2:7.1369
1.['generalized_linear', 'max', '2', '256', 'linear', 'const', 'sum', '6', '16', 'relu6']: feedback:96.8549 L_1:8.4949 L_2:7.5263 M_1:-0.1334 M_2:-0.4916 S_1:8.4949 S_2:7.5263
2.['linear', 'mean', '4', '128', 'elu', 'const', 'mean', '4', '64', 'softplus']: feedback:146.6705 L_1:8.4401 L_2:6.9734 M_1:-0.1365 M_2:-0.6550 S_1:8.4401 S_2:6.9734
3.['generalized_linear', 'mean', '6', '64', 'sigmoid', 'cos', 'max', '4', '64', 'tanh']: feedback:125.3887 L_1:8.3257 L_2:7.0718 M_1:-0.1661 M_2:-0.6626 S_1:8.3257 S_2:7.0718
4.['gcn', 'mean', '8', '64', 'linear', 'gcn', 'sum', '8', '16', 'softplus']: feedback:160.5834 L_1:8.4644 L_2:6.8586 M_1:-0.0280 M_2:-0.6471 S_1:8.4644 S_2:6.8586
5.['const', 'mean', '16', '32', 'sigmoid', 'cos', 'mean', '4', '64', 'relu6']: feedback:129.1879 L_1:8.4433 L_2:7.1515 M_1:-0.1503 M_2:-0.5885 S_1:8.4433 S_2:7.1515
1.['generalized_linear', 'max', '2', '256', 'linear', 'const', 'sum', '6', '16', 'relu6']: feedback:99.9829 L_1:8.4953 L_2:7.4955 M_1:-0.1272 M_2:-0.4690 S_1:8.4953 S_2:7.4955
